entry_time,exit_time,type,regime,strategy,entry_price,exit_price,size,pnl,close_reason,account_balance
2009-03-17 01:00:00,2009-03-17 02:00:00,LONG,VOLATILE,Cautious Mean Reversion,921.33,919.23,0.18100564629660035,-0.38011185722286484,Stop Loss,999.6198881427771
2009-03-17 02:00:00,2009-03-17 07:00:00,LONG,VOLATILE,Cautious Mean Reversion,919.23,922.73,0.16819589473106877,0.5886856315587408,Target Hit,1000.2085737743358
2009-03-17 08:00:00,2009-03-17 13:30:00,SHORT,TRENDING,Momentum Breakout,916.1,915.63,0.08795496077758352,0.04133883156546666,Regime Change,1000.2499126059013
2009-03-17 20:00:00,2009-03-18 01:30:00,LONG,VOLATILE,Cautious Mean Reversion,912.6,910.05,0.15310164243067692,-0.3904091881982366,Stop Loss,999.8595034177031
2009-03-18 01:30:00,2009-03-18 07:00:00,SHORT,TRENDING,Momentum Breakout,910.05,912.1,0.1363205150422759,-0.2794570558366749,Regime Change,999.5800463618664
2009-03-18 09:00:00,2009-03-18 14:00:00,SHORT,TRENDING,Momentum Breakout,903.45,927.47,0.08514370128183892,-2.0451517047897694,Stop Loss,997.5348946570766
2009-03-18 14:00:00,2009-03-18 15:30:00,LONG,TRENDING,Momentum Breakout,927.47,946.2,0.026596472319711333,0.49815192654819374,Target Hit,998.0330465836248
2009-03-18 15:30:00,2009-03-18 21:00:00,LONG,TRENDING,Momentum Breakout,946.2,928.98,0.021395453994799408,-0.36842971779044636,Stop Loss,997.6646168658343
2009-03-19 06:30:00,2009-03-19 07:30:00,SHORT,VOLATILE,Cautious Mean Reversion,936.45,944.38,0.07357321564982089,-0.5834356001030759,Stop Loss,997.0811812657313
2009-03-19 07:30:00,2009-03-19 10:00:00,SHORT,VOLATILE,Cautious Mean Reversion,944.38,951.7,0.05941699787045152,-0.4349324244117081,Stop Loss,996.6462488413196
2009-03-19 11:00:00,2009-03-19 16:30:00,LONG,TRENDING,Momentum Breakout,958.4,960.18,0.033026632298838544,0.058787405491931705,Regime Change,996.7050362468115
